country,iso_code,log_recent_per_capita,long_term_log_slope,recent_log_slope,slope_acceleration,growth_volatility_mad,peak_timing,post_peak_change,recent_coal_share,recent_gas_share,coal_share_change,gas_share_change,cluster,PC1,PC2,PC3,PC4
Malta,MLT,1.433654932479728,-0.02751734547460674,-0.08497705671826543,-0.05745971124365869,3.6514999999999995,0.034482758620689655,-0.5578992681876883,0.0,0.4402068519715578,-0.1817839668799397,0.4402068519715578,1,-5.38140341729434,-3.17772731271521,1.6631256012625522,-0.2899955819971537
Mauritania,MRT,0.7055697005585024,0.031212790510183212,0.06373942150836756,0.03252663099818435,2.4450000000000003,0.9310344827586207,-0.037270087124878976,0.0,0.0,-0.015625,0.0,1,0.3207451636291449,2.1549235649134597,0.6435752888693803,0.4674548584913105
Mauritius,MUS,1.4944758939644187,0.03053128722651387,0.001532415585545512,-0.028998871640968357,2.973,0.896551724137931,-0.13818595393801542,0.3938325991189427,0.0,0.3019288792064701,0.0,0,5.7372371200749015,-2.010223422332807,-0.7627246603452937,-0.07617451674952255
Mexico,MEX,1.5524441909139801,-0.0011495101096073448,-0.023828546470913023,-0.02267903636130568,2.214,0.4482758620689655,-0.21415525114155246,0.102798623962579,0.3747498211390949,0.042396059531088694,0.2004934626244665,1,0.017999159103328142,-1.8159807041465652,0.9085356454772704,-0.48486800053729034
Moldova,MDA,0.9921400441575929,-0.013544105200830128,0.03330866921145735,0.04685277441228748,5.022499999999999,0.0,-0.56819830713422,0.0642271774347246,0.3804394657475227,-0.13708141806585789,-0.03475312806963721,1,-2.5942929062965256,2.243180038431452,-0.14183815344751358,-1.7113872792084321
Mongolia,MNG,2.6324642141456147,0.05585975408285679,0.008238763952304636,-0.047620990130552154,8.455,0.896551724137931,-0.17246802264625702,0.8888954570980996,0.0,0.023900522954229286,0.0,1,0.7773782417955085,-0.5172365306002199,-1.2478563081272869,1.1707324743971281
Montenegro,MNE,1.600195331067168,0.017719154537601506,0.021551597569654486,0.0038324430320529797,5.7975,0.9655172413793104,-0.0048835462058602185,0.5874041178845377,0.0,-0.24924653414017062,0.0,1,-4.255756678470046,2.5975675174518686,-0.46312971809406556,0.9449122352988278
Morocco,MAR,1.0166789059054235,0.022582795577760145,0.01265442911182103,-0.009928366465939115,2.1900000000000004,0.9655172413793104,-0.034246575342465724,0.3963072192765036,0.0314372666520252,0.18737372852483108,0.029705664920423504,0,3.6831237959142236,-0.7998930808089291,-0.15310170876454388,0.014175227055064191
Mozambique,MOZ,0.21672298351128702,0.05343346742312004,0.040983115579347563,-0.012450351843772474,8.017500000000002,0.7931034482758621,-0.28115015974440905,0.0072739295751363,0.2700718993409227,-0.1323020421563124,0.2700718993409227,1,-2.595934665014369,0.32089001341006856,2.2241041684061833,1.8155531165556527
Myanmar,MMR,0.49408629976169266,0.04976672039374587,0.11585030351082098,0.06608358311707511,7.4995,0.9310344827586207,-0.07757296466973884,0.1079136690647482,0.2697054263565892,0.0980378647852331,-0.14680802843197832,0,3.207143447698627,3.2548916110996164,0.4118038172619724,-0.04608175146106173
Namibia,NAM,0.8783811588009349,0.016032628886551794,-0.008126570201544303,-0.0241591990880961,4.7059999999999995,0.8275862068965517,-0.1113826815642458,0.0411214953271028,0.0,0.012174126906050197,0.0,1,0.18164793991639325,-0.032112218239504366,-0.7477091304953721,0.8315186749834149
Nepal,NPL,0.4054651081081644,0.0676892877092389,0.11901106592446227,0.051321778215223365,10.143499999999998,1.0,0.0,0.3753733820112844,0.0,0.12801422708170698,0.0,0,3.7482777910074323,2.4315579145232418,1.2528038990611328,0.8319415225926351
Netherlands,NLD,2.273053290388008,-0.010394624229536293,-0.024267356835285303,-0.01387273260574901,2.058,0.0,-0.2990373852697561,0.1832584598208352,0.4988503150003987,-0.02077762698640581,0.010305034818543946,1,-0.9567339584166518,-0.6448438770318934,-0.6789999976789196,-1.3621887267901087
New Caledonia,NCL,3.0297471521412684,0.029643259499187776,0.02507107508769573,-0.004572184411492045,7.829000000000001,0.896551724137931,-0.15298470152984697,0.5341468214918323,0.0,0.2899435654484185,0.0,0,5.7414522737258125,-1.3049143840634085,-0.48714505022401694,-0.5659373291669754
New Zealand,NZL,2.1140844851233753,-0.004306402512194183,-0.01978473489825528,-0.015478332386061097,2.4885,0.41379310344827586,-0.25027765437583294,0.162177766230767,0.2380127594468981,-0.014931035725223224,-0.05705427640270838,1,-0.5488587478433814,-0.05946010848904115,-1.3135155267808865,-0.6893741365901445
